Frame         Time          Elec          VdW           Nonbond       Total         
0             0             +0            -386.006      -386.006      -386.006      
1             1             +0            -337.041      -337.041      -337.041      
2             2             +0            -330.593      -330.593      -330.593      
3             3             +0            -320.581      -320.581      -320.581      
4             4             +0            -363.122      -363.122      -363.122      
5             5             +0            -374.624      -374.624      -374.624      
6             6             +0            -332.588      -332.588      -332.588      
7             7             +0            -356.286      -356.286      -356.286      
8             8             +0            -348.592      -348.592      -348.592      
9             9             +0            -331.095      -331.095      -331.095      
10            10            +0            -347.688      -347.688      -347.688      
11            11            +0            -324.327      -324.327      -324.327      
12            12            +0            -349.101      -349.101      -349.101      
13            13            +0            -327.552      -327.552      -327.552      
14            14            +0            -321.426      -321.426      -321.426      
15            15            +0            -361.802      -361.802      -361.802      
16            16            +0            -332.528      -332.528      -332.528      
17            17            +0            -340.298      -340.298      -340.298      
18            18            +0            -319.974      -319.974      -319.974      
19            19            +0            -330.49       -330.49       -330.49       
20            20            +0            -332.694      -332.694      -332.694      
21            21            +0            -349.719      -349.719      -349.719      
22            22            +0            -331.131      -331.131      -331.131      
23            23            +0            -329.978      -329.978      -329.978      
24            24            +0            -319.943      -319.943      -319.943      
25            25            +0            -335.498      -335.498      -335.498      
26            26            +0            -361.748      -361.748      -361.748      
27            27            +0            -322.529      -322.529      -322.529      
28            28            +0            -362.556      -362.556      -362.556      
29            29            +0            -361.113      -361.113      -361.113      
30            30            +0            -339.735      -339.735      -339.735      
31            31            +0            -350.857      -350.857      -350.857      
32            32            +0            -334.965      -334.965      -334.965      
33            33            +0            -344.757      -344.757      -344.757      
34            34            +0            -367.972      -367.972      -367.972      
