Frame         Time          Elec          VdW           Nonbond       Total         
137           137           +0            -349.686      -349.686      -349.686      
138           138           +0            -345.436      -345.436      -345.436      
139           139           +0            -344.21       -344.21       -344.21       
140           140           +0            -363.823      -363.823      -363.823      
141           141           +0            -354.202      -354.202      -354.202      
142           142           +0            -336.847      -336.847      -336.847      
143           143           +0            -327.591      -327.591      -327.591      
144           144           +0            -344.525      -344.525      -344.525      
145           145           +0            -348.679      -348.679      -348.679      
146           146           +0            -334.719      -334.719      -334.719      
147           147           +0            -348.633      -348.633      -348.633      
148           148           +0            -343.242      -343.242      -343.242      
149           149           +0            -333.243      -333.243      -333.243      
150           150           +0            -352.074      -352.074      -352.074      
151           151           +0            -343.779      -343.779      -343.779      
152           152           +0            -346.447      -346.447      -346.447      
153           153           +0            -355.185      -355.185      -355.185      
154           154           +0            -328.74       -328.74       -328.74       
155           155           +0            -337.314      -337.314      -337.314      
156           156           +0            -321.916      -321.916      -321.916      
157           157           +0            -350.92       -350.92       -350.92       
158           158           +0            -317.708      -317.708      -317.708      
159           159           +0            -341.633      -341.633      -341.633      
160           160           +0            -323.024      -323.024      -323.024      
161           161           +0            -352.873      -352.873      -352.873      
162           162           +0            -340.867      -340.867      -340.867      
163           163           +0            -333.03       -333.03       -333.03       
164           164           +0            -348.185      -348.185      -348.185      
165           165           +0            -331.702      -331.702      -331.702      
166           166           +0            -348.29       -348.29       -348.29       
167           167           +0            -333.447      -333.447      -333.447      
168           168           +0            -343.948      -343.948      -343.948      
169           169           +0            -326.456      -326.456      -326.456      
170           170           +0            -340.711      -340.711      -340.711      
171           171           +0            -334.775      -334.775      -334.775      
172           172           +0            -350.193      -350.193      -350.193      
173           173           +0            -329.893      -329.893      -329.893      
174           174           +0            -340.981      -340.981      -340.981      
175           175           +0            -335.856      -335.856      -335.856      
176           176           +0            -334.978      -334.978      -334.978      
177           177           +0            -335.29       -335.29       -335.29       
178           178           +0            -335.163      -335.163      -335.163      
179           179           +0            -348.229      -348.229      -348.229      
180           180           +0            -341.767      -341.767      -341.767      
181           181           +0            -345.442      -345.442      -345.442      
182           182           +0            -336.336      -336.336      -336.336      
183           183           +0            -347.099      -347.099      -347.099      
184           184           +0            -337.887      -337.887      -337.887      
185           185           +0            -354.489      -354.489      -354.489      
186           186           +0            -334.197      -334.197      -334.197      
187           187           +0            -330.451      -330.451      -330.451      
188           188           +0            -335.319      -335.319      -335.319      
189           189           +0            -336.102      -336.102      -336.102      
190           190           +0            -338.893      -338.893      -338.893      
191           191           +0            -347.478      -347.478      -347.478      
192           192           +0            -333.159      -333.159      -333.159      
193           193           +0            -356.027      -356.027      -356.027      
194           194           +0            -353.432      -353.432      -353.432      
195           195           +0            -333.865      -333.865      -333.865      
196           196           +0            -336.095      -336.095      -336.095      
197           197           +0            -330.846      -330.846      -330.846      
198           198           +0            -326.28       -326.28       -326.28       
199           199           +0            -352.757      -352.757      -352.757      
200           200           +0            -339.015      -339.015      -339.015      
201           201           +0            -335.287      -335.287      -335.287      
202           202           +0            -359.051      -359.051      -359.051      
203           203           +0            -348.443      -348.443      -348.443      
204           204           +0            -341.701      -341.701      -341.701      
205           205           +0            -343.478      -343.478      -343.478      
206           206           +0            -322.445      -322.445      -322.445      
207           207           +0            -329.567      -329.567      -329.567      
208           208           +0            -341.648      -341.648      -341.648      
209           209           +0            -342.937      -342.937      -342.937      
210           210           +0            -338.49       -338.49       -338.49       
211           211           +0            -337.534      -337.534      -337.534      
212           212           +0            -321.316      -321.316      -321.316      
213           213           +0            -338.192      -338.192      -338.192      
214           214           +0            -362.072      -362.072      -362.072      
215           215           +0            -334.332      -334.332      -334.332      
216           216           +0            -342.935      -342.935      -342.935      
217           217           +0            -332.099      -332.099      -332.099      
218           218           +0            -336.384      -336.384      -336.384      
