Frame         Time          Elec          VdW           Nonbond       Total         
137           137           +0            -373.567      -373.567      -373.567      
138           138           +0            -358.233      -358.233      -358.233      
139           139           +0            -368.661      -368.661      -368.661      
140           140           +0            -366.093      -366.093      -366.093      
141           141           +0            -373.211      -373.211      -373.211      
142           142           +0            -363.213      -363.213      -363.213      
143           143           +0            -343.804      -343.804      -343.804      
144           144           +0            -371.739      -371.739      -371.739      
145           145           +0            -365.904      -365.904      -365.904      
146           146           +0            -356.315      -356.315      -356.315      
147           147           +0            -367.431      -367.431      -367.431      
148           148           +0            -366.091      -366.091      -366.091      
149           149           +0            -382.264      -382.264      -382.264      
150           150           +0            -384.749      -384.749      -384.749      
151           151           +0            -369.558      -369.558      -369.558      
152           152           +0            -344.188      -344.188      -344.188      
153           153           +0            -362.582      -362.582      -362.582      
154           154           +0            -345.994      -345.994      -345.994      
155           155           +0            -352.522      -352.522      -352.522      
156           156           +0            -356.985      -356.985      -356.985      
157           157           +0            -374.073      -374.073      -374.073      
158           158           +0            -375.403      -375.403      -375.403      
159           159           +0            -376.238      -376.238      -376.238      
160           160           +0            -378.844      -378.844      -378.844      
161           161           +0            -345.524      -345.524      -345.524      
162           162           +0            -375.412      -375.412      -375.412      
163           163           +0            -371.411      -371.411      -371.411      
164           164           +0            -374.905      -374.905      -374.905      
165           165           +0            -375.829      -375.829      -375.829      
166           166           +0            -348.642      -348.642      -348.642      
167           167           +0            -381.81       -381.81       -381.81       
168           168           +0            -354.842      -354.842      -354.842      
169           169           +0            -358.514      -358.514      -358.514      
170           170           +0            -337.985      -337.985      -337.985      
171           171           +0            -342.793      -342.793      -342.793      
172           172           +0            -362.204      -362.204      -362.204      
173           173           +0            -355.751      -355.751      -355.751      
174           174           +0            -376.363      -376.363      -376.363      
175           175           +0            -374.419      -374.419      -374.419      
176           176           +0            -344.687      -344.687      -344.687      
177           177           +0            -371.321      -371.321      -371.321      
178           178           +0            -368.811      -368.811      -368.811      
179           179           +0            -395.681      -395.681      -395.681      
180           180           +0            -368.162      -368.162      -368.162      
181           181           +0            -369.168      -369.168      -369.168      
182           182           +0            -372.438      -372.438      -372.438      
183           183           +0            -368.752      -368.752      -368.752      
184           184           +0            -385.058      -385.058      -385.058      
185           185           +0            -366.822      -366.822      -366.822      
186           186           +0            -384.846      -384.846      -384.846      
187           187           +0            -370.427      -370.427      -370.427      
188           188           +0            -366.707      -366.707      -366.707      
189           189           +0            -371.238      -371.238      -371.238      
190           190           +0            -380.516      -380.516      -380.516      
191           191           +0            -373.909      -373.909      -373.909      
192           192           +0            -368.147      -368.147      -368.147      
193           193           +0            -362.937      -362.937      -362.937      
194           194           +0            -362.524      -362.524      -362.524      
195           195           +0            -358.474      -358.474      -358.474      
196           196           +0            -330.25       -330.25       -330.25       
197           197           +0            -360.811      -360.811      -360.811      
198           198           +0            -367.346      -367.346      -367.346      
199           199           +0            -384.738      -384.738      -384.738      
200           200           +0            -351.398      -351.398      -351.398      
201           201           +0            -365.889      -365.889      -365.889      
202           202           +0            -355.475      -355.475      -355.475      
203           203           +0            -375.348      -375.348      -375.348      
204           204           +0            -367.698      -367.698      -367.698      
205           205           +0            -370.869      -370.869      -370.869      
206           206           +0            -355.607      -355.607      -355.607      
207           207           +0            -375.127      -375.127      -375.127      
208           208           +0            -370.759      -370.759      -370.759      
209           209           +0            -343.422      -343.422      -343.422      
210           210           +0            -343.167      -343.167      -343.167      
211           211           +0            -362.808      -362.808      -362.808      
212           212           +0            -372.422      -372.422      -372.422      
213           213           +0            -340.308      -340.308      -340.308      
214           214           +0            -375.112      -375.112      -375.112      
215           215           +0            -341.923      -341.923      -341.923      
216           216           +0            -381.239      -381.239      -381.239      
217           217           +0            -359.427      -359.427      -359.427      
218           218           +0            -368.611      -368.611      -368.611      
219           219           +0            -366.802      -366.802      -366.802      
220           220           +0            -357.548      -357.548      -357.548      
221           221           +0            -373.986      -373.986      -373.986      
222           222           +0            -376.446      -376.446      -376.446      
223           223           +0            -362.241      -362.241      -362.241      
224           224           +0            -378.37       -378.37       -378.37       
225           225           +0            -374.163      -374.163      -374.163      
226           226           +0            -363.651      -363.651      -363.651      
227           227           +0            -348.34       -348.34       -348.34       
228           228           +0            -354.633      -354.633      -354.633      
229           229           +0            -376.676      -376.676      -376.676      
230           230           +0            -365.42       -365.42       -365.42       
231           231           +0            -370.885      -370.885      -370.885      
232           232           +0            -377.224      -377.224      -377.224      
233           233           +0            -351.871      -351.871      -351.871      
234           234           +0            -364.893      -364.893      -364.893      
235           235           +0            -364.609      -364.609      -364.609      
236           236           +0            -355.456      -355.456      -355.456      
237           237           +0            -368.012      -368.012      -368.012      
238           238           +0            -379.967      -379.967      -379.967      
239           239           +0            -376.701      -376.701      -376.701      
240           240           +0            -375.965      -375.965      -375.965      
241           241           +0            -377.969      -377.969      -377.969      
242           242           +0            -355.546      -355.546      -355.546      
243           243           +0            -374.422      -374.422      -374.422      
244           244           +0            -346.945      -346.945      -346.945      
245           245           +0            -364.321      -364.321      -364.321      
246           246           +0            -372.528      -372.528      -372.528      
247           247           +0            -373.51       -373.51       -373.51       
248           248           +0            -366.973      -366.973      -366.973      
249           249           +0            -368.587      -368.587      -368.587      
250           250           +0            -344.551      -344.551      -344.551      
251           251           +0            -373.638      -373.638      -373.638      
252           252           +0            -368.348      -368.348      -368.348      
253           253           +0            -352.724      -352.724      -352.724      
254           254           +0            -366.318      -366.318      -366.318      
255           255           +0            -366.248      -366.248      -366.248      
256           256           +0            -384.302      -384.302      -384.302      
257           257           +0            -375.193      -375.193      -375.193      
258           258           +0            -373.164      -373.164      -373.164      
259           259           +0            -358.952      -358.952      -358.952      
260           260           +0            -369.185      -369.185      -369.185      
261           261           +0            -378.825      -378.825      -378.825      
262           262           +0            -361.555      -361.555      -361.555      
263           263           +0            -375.572      -375.572      -375.572      
264           264           +0            -369.416      -369.416      -369.416      
265           265           +0            -383.678      -383.678      -383.678      
266           266           +0            -363.844      -363.844      -363.844      
267           267           +0            -362.651      -362.651      -362.651      
268           268           +0            -371.652      -371.652      -371.652      
269           269           +0            -377.937      -377.937      -377.937      
270           270           +0            -372.387      -372.387      -372.387      
271           271           +0            -366.146      -366.146      -366.146      
272           272           +0            -368.488      -368.488      -368.488      
273           273           +0            -358.04       -358.04       -358.04       
274           274           +0            -374.191      -374.191      -374.191      
275           275           +0            -373.474      -373.474      -373.474      
276           276           +0            -368.37       -368.37       -368.37       
277           277           +0            -369.36       -369.36       -369.36       
278           278           +0            -374.933      -374.933      -374.933      
279           279           +0            -359.483      -359.483      -359.483      
280           280           +0            -369.997      -369.997      -369.997      
281           281           +0            -377.773      -377.773      -377.773      
282           282           +0            -372.874      -372.874      -372.874      
283           283           +0            -369.582      -369.582      -369.582      
284           284           +0            -367.269      -367.269      -367.269      
285           285           +0            -371.734      -371.734      -371.734      
286           286           +0            -344.864      -344.864      -344.864      
287           287           +0            -381.482      -381.482      -381.482      
288           288           +0            -372.053      -372.053      -372.053      
289           289           +0            -354.102      -354.102      -354.102      
290           290           +0            -370.028      -370.028      -370.028      
291           291           +0            -376.564      -376.564      -376.564      
292           292           +0            -363.42       -363.42       -363.42       
293           293           +0            -375.571      -375.571      -375.571      
294           294           +0            -367.24       -367.24       -367.24       
295           295           +0            -366.596      -366.596      -366.596      
296           296           +0            -375.403      -375.403      -375.403      
297           297           +0            -372.322      -372.322      -372.322      
298           298           +0            -380.638      -380.638      -380.638      
299           299           +0            -373.853      -373.853      -373.853      
300           300           +0            -375.319      -375.319      -375.319      
301           301           +0            -366.443      -366.443      -366.443      
302           302           +0            -374.666      -374.666      -374.666      
303           303           +0            -370.927      -370.927      -370.927      
304           304           +0            -365.009      -365.009      -365.009      
305           305           +0            -392.301      -392.301      -392.301      
306           306           +0            -370.499      -370.499      -370.499      
307           307           +0            -371.775      -371.775      -371.775      
308           308           +0            -350.871      -350.871      -350.871      
309           309           +0            -356.108      -356.108      -356.108      
310           310           +0            -383.831      -383.831      -383.831      
311           311           +0            -370.36       -370.36       -370.36       
312           312           +0            -365.814      -365.814      -365.814      
313           313           +0            -370.636      -370.636      -370.636      
314           314           +0            -366.035      -366.035      -366.035      
315           315           +0            -375.663      -375.663      -375.663      
316           316           +0            -343.408      -343.408      -343.408      
317           317           +0            -359.378      -359.378      -359.378      
318           318           +0            -382.087      -382.087      -382.087      
319           319           +0            -338.285      -338.285      -338.285      
320           320           +0            -365.826      -365.826      -365.826      
321           321           +0            -381.864      -381.864      -381.864      
322           322           +0            -347.797      -347.797      -347.797      
323           323           +0            -380.671      -380.671      -380.671      
324           324           +0            -372.154      -372.154      -372.154      
325           325           +0            -364.958      -364.958      -364.958      
326           326           +0            -380.119      -380.119      -380.119      
327           327           +0            -376.853      -376.853      -376.853      
328           328           +0            -381.749      -381.749      -381.749      
329           329           +0            -354.545      -354.545      -354.545      
330           330           +0            -359.676      -359.676      -359.676      
331           331           +0            -356.415      -356.415      -356.415      
332           332           +0            -352.605      -352.605      -352.605      
333           333           +0            -377.692      -377.692      -377.692      
334           334           +0            -367.526      -367.526      -367.526      
335           335           +0            -370.616      -370.616      -370.616      
336           336           +0            -354.977      -354.977      -354.977      
337           337           +0            -370.613      -370.613      -370.613      
338           338           +0            -369.062      -369.062      -369.062      
339           339           +0            -357.543      -357.543      -357.543      
340           340           +0            -378.716      -378.716      -378.716      
341           341           +0            -356.959      -356.959      -356.959      
342           342           +0            -367.684      -367.684      -367.684      
343           343           +0            -374.861      -374.861      -374.861      
344           344           +0            -366.703      -366.703      -366.703      
345           345           +0            -351.01       -351.01       -351.01       
346           346           +0            -351.104      -351.104      -351.104      
347           347           +0            -363.543      -363.543      -363.543      
348           348           +0            -383.498      -383.498      -383.498      
349           349           +0            -364.623      -364.623      -364.623      
350           350           +0            -357.897      -357.897      -357.897      
351           351           +0            -375.965      -375.965      -375.965      
352           352           +0            -359.031      -359.031      -359.031      
353           353           +0            -370.308      -370.308      -370.308      
354           354           +0            -356.41       -356.41       -356.41       
355           355           +0            -340.814      -340.814      -340.814      
356           356           +0            -349.393      -349.393      -349.393      
357           357           +0            -346.776      -346.776      -346.776      
358           358           +0            -366.616      -366.616      -366.616      
359           359           +0            -364.579      -364.579      -364.579      
360           360           +0            -368.158      -368.158      -368.158      
361           361           +0            -374.523      -374.523      -374.523      
362           362           +0            -353.532      -353.532      -353.532      
363           363           +0            -372.409      -372.409      -372.409      
364           364           +0            -337.815      -337.815      -337.815      
365           365           +0            -354.477      -354.477      -354.477      
366           366           +0            -373.5        -373.5        -373.5        
367           367           +0            -356.607      -356.607      -356.607      
368           368           +0            -369.301      -369.301      -369.301      
369           369           +0            -361.197      -361.197      -361.197      
370           370           +0            -366.21       -366.21       -366.21       
371           371           +0            -375.811      -375.811      -375.811      
372           372           +0            -370.515      -370.515      -370.515      
373           373           +0            -349.226      -349.226      -349.226      
374           374           +0            -358.641      -358.641      -358.641      
375           375           +0            -367.334      -367.334      -367.334      
376           376           +0            -354.322      -354.322      -354.322      
377           377           +0            -359.75       -359.75       -359.75       
378           378           +0            -377.227      -377.227      -377.227      
379           379           +0            -349.114      -349.114      -349.114      
380           380           +0            -372.213      -372.213      -372.213      
381           381           +0            -370.438      -370.438      -370.438      
382           382           +0            -363.574      -363.574      -363.574      
383           383           +0            -375.588      -375.588      -375.588      
384           384           +0            -355.438      -355.438      -355.438      
385           385           +0            -353.015      -353.015      -353.015      
386           386           +0            -380.553      -380.553      -380.553      
387           387           +0            -362.433      -362.433      -362.433      
388           388           +0            -373.958      -373.958      -373.958      
389           389           +0            -361.638      -361.638      -361.638      
390           390           +0            -377.109      -377.109      -377.109      
391           391           +0            -340.406      -340.406      -340.406      
392           392           +0            -374.994      -374.994      -374.994      
393           393           +0            -376.974      -376.974      -376.974      
394           394           +0            -342.604      -342.604      -342.604      
395           395           +0            -382.378      -382.378      -382.378      
396           396           +0            -361.03       -361.03       -361.03       
397           397           +0            -360.514      -360.514      -360.514      
398           398           +0            -350.758      -350.758      -350.758      
399           399           +0            -337.769      -337.769      -337.769      
400           400           +0            -371.785      -371.785      -371.785      
401           401           +0            -353.615      -353.615      -353.615      
402           402           +0            -372.839      -372.839      -372.839      
403           403           +0            -357.832      -357.832      -357.832      
404           404           +0            -389.897      -389.897      -389.897      
405           405           +0            -379.662      -379.662      -379.662      
406           406           +0            -372.551      -372.551      -372.551      
407           407           +0            -366.694      -366.694      -366.694      
408           408           +0            -365.195      -365.195      -365.195      
409           409           +0            -367.76       -367.76       -367.76       
410           410           +0            -370.132      -370.132      -370.132      
411           411           +0            -350.95       -350.95       -350.95       
412           412           +0            -385.556      -385.556      -385.556      
413           413           +0            -373.409      -373.409      -373.409      
414           414           +0            -358.032      -358.032      -358.032      
415           415           +0            -355.989      -355.989      -355.989      
416           416           +0            -363.511      -363.511      -363.511      
417           417           +0            -362.945      -362.945      -362.945      
418           418           +0            -377.241      -377.241      -377.241      
419           419           +0            -358.949      -358.949      -358.949      
420           420           +0            -358.517      -358.517      -358.517      
421           421           +0            -344.983      -344.983      -344.983      
422           422           +0            -357.609      -357.609      -357.609      
423           423           +0            -368.543      -368.543      -368.543      
424           424           +0            -355.702      -355.702      -355.702      
425           425           +0            -376.106      -376.106      -376.106      
426           426           +0            -365.141      -365.141      -365.141      
427           427           +0            -351.637      -351.637      -351.637      
428           428           +0            -378.963      -378.963      -378.963      
429           429           +0            -373.276      -373.276      -373.276      
430           430           +0            -363.481      -363.481      -363.481      
431           431           +0            -362.095      -362.095      -362.095      
432           432           +0            -371.038      -371.038      -371.038      
433           433           +0            -349.164      -349.164      -349.164      
434           434           +0            -365.378      -365.378      -365.378      
435           435           +0            -374.791      -374.791      -374.791      
436           436           +0            -360.646      -360.646      -360.646      
437           437           +0            -361.616      -361.616      -361.616      
438           438           +0            -335.314      -335.314      -335.314      
439           439           +0            -368.843      -368.843      -368.843      
440           440           +0            -360.885      -360.885      -360.885      
441           441           +0            -379.697      -379.697      -379.697      
442           442           +0            -364.759      -364.759      -364.759      
443           443           +0            -353.952      -353.952      -353.952      
444           444           +0            -364.267      -364.267      -364.267      
445           445           +0            -360.655      -360.655      -360.655      
446           446           +0            -366.483      -366.483      -366.483      
447           447           +0            -368.255      -368.255      -368.255      
448           448           +0            -372.703      -372.703      -372.703      
449           449           +0            -372.914      -372.914      -372.914      
450           450           +0            -357.765      -357.765      -357.765      
451           451           +0            -375.316      -375.316      -375.316      
452           452           +0            -347.004      -347.004      -347.004      
453           453           +0            -364.888      -364.888      -364.888      
454           454           +0            -367.342      -367.342      -367.342      
455           455           +0            -387.613      -387.613      -387.613      
456           456           +0            -370.995      -370.995      -370.995      
457           457           +0            -383.336      -383.336      -383.336      
458           458           +0            -387.554      -387.554      -387.554      
459           459           +0            -359.653      -359.653      -359.653      
460           460           +0            -372.727      -372.727      -372.727      
461           461           +0            -354.808      -354.808      -354.808      
462           462           +0            -370.232      -370.232      -370.232      
463           463           +0            -347.263      -347.263      -347.263      
464           464           +0            -354.059      -354.059      -354.059      
465           465           +0            -367.129      -367.129      -367.129      
466           466           +0            -384.961      -384.961      -384.961      
467           467           +0            -358.94       -358.94       -358.94       
468           468           +0            -378.162      -378.162      -378.162      
469           469           +0            -377.731      -377.731      -377.731      
470           470           +0            -405.858      -405.858      -405.858      
471           471           +0            -379.21       -379.21       -379.21       
472           472           +0            -360.974      -360.974      -360.974      
473           473           +0            -370.506      -370.506      -370.506      
474           474           +0            -357.08       -357.08       -357.08       
475           475           +0            -354.787      -354.787      -354.787      
476           476           +0            -365.857      -365.857      -365.857      
477           477           +0            -378.851      -378.851      -378.851      
478           478           +0            -374.699      -374.699      -374.699      
479           479           +0            -359.547      -359.547      -359.547      
480           480           +0            -362.86       -362.86       -362.86       
481           481           +0            -359.702      -359.702      -359.702      
482           482           +0            -387.499      -387.499      -387.499      
483           483           +0            -377.098      -377.098      -377.098      
484           484           +0            -365.425      -365.425      -365.425      
485           485           +0            -373.963      -373.963      -373.963      
486           486           +0            -362.524      -362.524      -362.524      
487           487           +0            -381.026      -381.026      -381.026      
488           488           +0            -368.895      -368.895      -368.895      
489           489           +0            -369.892      -369.892      -369.892      
490           490           +0            -382.93       -382.93       -382.93       
491           491           +0            -360.852      -360.852      -360.852      
492           492           +0            -371.912      -371.912      -371.912      
493           493           +0            -364.076      -364.076      -364.076      
494           494           +0            -375.374      -375.374      -375.374      
495           495           +0            -377.598      -377.598      -377.598      
496           496           +0            -356.839      -356.839      -356.839      
497           497           +0            -367.363      -367.363      -367.363      
498           498           +0            -356.604      -356.604      -356.604      
499           499           +0            -360.464      -360.464      -360.464      
500           500           +0            -365.927      -365.927      -365.927      
501           501           +0            -357.843      -357.843      -357.843      
502           502           +0            -379.368      -379.368      -379.368      
503           503           +0            -368.532      -368.532      -368.532      
504           504           +0            -365.814      -365.814      -365.814      
505           505           +0            -385.652      -385.652      -385.652      
506           506           +0            -355.686      -355.686      -355.686      
507           507           +0            -383.952      -383.952      -383.952      
508           508           +0            -355.044      -355.044      -355.044      
509           509           +0            -364.325      -364.325      -364.325      
510           510           +0            -386.004      -386.004      -386.004      
511           511           +0            -394.587      -394.587      -394.587      
512           512           +0            -364.74       -364.74       -364.74       
513           513           +0            -363.64       -363.64       -363.64       
514           514           +0            -365.355      -365.355      -365.355      
515           515           +0            -372.773      -372.773      -372.773      
516           516           +0            -345.906      -345.906      -345.906      
