Frame         Time          Elec          VdW           Nonbond       Total         
0             0             +0            -8.8782       -8.8782       -8.8782       
1             1             +0            -26.7039      -26.7039      -26.7039      
2             2             +0            -230.825      -230.825      -230.825      
3             3             +0            -323.042      -323.042      -323.042      
4             4             +0            -313.579      -313.579      -313.579      
5             5             +0            -338.536      -338.536      -338.536      
6             6             +0            -353.207      -353.207      -353.207      
7             7             +0            -354.373      -354.373      -354.373      
8             8             +0            -351.272      -351.272      -351.272      
9             9             +0            -373.71       -373.71       -373.71       
10            10            +0            -330.513      -330.513      -330.513      
11            11            +0            -376.045      -376.045      -376.045      
12            12            +0            -350.388      -350.388      -350.388      
13            13            +0            -344.455      -344.455      -344.455      
14            14            +0            -353.082      -353.082      -353.082      
15            15            +0            -361.536      -361.536      -361.536      
16            16            +0            -355.171      -355.171      -355.171      
17            17            +0            -362.374      -362.374      -362.374      
18            18            +0            -331.076      -331.076      -331.076      
19            19            +0            -348.351      -348.351      -348.351      
20            20            +0            -350.76       -350.76       -350.76       
21            21            +0            -316.861      -316.861      -316.861      
22            22            +0            -344.672      -344.672      -344.672      
23            23            +0            -346.002      -346.002      -346.002      
24            24            +0            -360.196      -360.196      -360.196      
25            25            +0            -340.184      -340.184      -340.184      
26            26            +0            -370.929      -370.929      -370.929      
27            27            +0            -347.856      -347.856      -347.856      
28            28            +0            -345.151      -345.151      -345.151      
29            29            +0            -359.611      -359.611      -359.611      
30            30            +0            -359.7        -359.7        -359.7        
31            31            +0            -364.296      -364.296      -364.296      
32            32            +0            -358.714      -358.714      -358.714      
33            33            +0            -356.165      -356.165      -356.165      
34            34            +0            -363.32       -363.32       -363.32       
35            35            +0            -355.054      -355.054      -355.054      
36            36            +0            -356.197      -356.197      -356.197      
37            37            +0            -362.091      -362.091      -362.091      
38            38            +0            -364.722      -364.722      -364.722      
39            39            +0            -361.37       -361.37       -361.37       
40            40            +0            -370.425      -370.425      -370.425      
41            41            +0            -367.439      -367.439      -367.439      
42            42            +0            -346.247      -346.247      -346.247      
43            43            +0            -366.204      -366.204      -366.204      
44            44            +0            -367.161      -367.161      -367.161      
45            45            +0            -354.39       -354.39       -354.39       
46            46            +0            -341.596      -341.596      -341.596      
47            47            +0            -351.411      -351.411      -351.411      
48            48            +0            -336.476      -336.476      -336.476      
49            49            +0            -370.309      -370.309      -370.309      
50            50            +0            -367.003      -367.003      -367.003      
51            51            +0            -361.824      -361.824      -361.824      
52            52            +0            -361.908      -361.908      -361.908      
53            53            +0            -364.811      -364.811      -364.811      
54            54            +0            -378.556      -378.556      -378.556      
55            55            +0            -355.072      -355.072      -355.072      
56            56            +0            -361.907      -361.907      -361.907      
57            57            +0            -344.613      -344.613      -344.613      
58            58            +0            -354.599      -354.599      -354.599      
59            59            +0            -340.702      -340.702      -340.702      
60            60            +0            -325.308      -325.308      -325.308      
61            61            +0            -339.557      -339.557      -339.557      
62            62            +0            -337.261      -337.261      -337.261      
63            63            +0            -358.199      -358.199      -358.199      
64            64            +0            -367.02       -367.02       -367.02       
65            65            +0            -332.018      -332.018      -332.018      
66            66            +0            -355.182      -355.182      -355.182      
67            67            +0            -362.036      -362.036      -362.036      
68            68            +0            -366.857      -366.857      -366.857      
69            69            +0            -357.133      -357.133      -357.133      
70            70            +0            -354.089      -354.089      -354.089      
71            71            +0            -367.111      -367.111      -367.111      
72            72            +0            -367.117      -367.117      -367.117      
73            73            +0            -337.484      -337.484      -337.484      
74            74            +0            -350.479      -350.479      -350.479      
75            75            +0            -366.427      -366.427      -366.427      
76            76            +0            -344.445      -344.445      -344.445      
77            77            +0            -340.024      -340.024      -340.024      
78            78            +0            -343.043      -343.043      -343.043      
79            79            +0            -327.905      -327.905      -327.905      
80            80            +0            -312.155      -312.155      -312.155      
81            81            +0            -350.479      -350.479      -350.479      
82            82            +0            -352.287      -352.287      -352.287      
83            83            +0            -339.781      -339.781      -339.781      
84            84            +0            -347.745      -347.745      -347.745      
85            85            +0            -343.245      -343.245      -343.245      
86            86            +0            -347.526      -347.526      -347.526      
87            87            +0            -369.48       -369.48       -369.48       
88            88            +0            -350.269      -350.269      -350.269      
89            89            +0            -342.278      -342.278      -342.278      
90            90            +0            -365.207      -365.207      -365.207      
91            91            +0            -373.438      -373.438      -373.438      
92            92            +0            -346.53       -346.53       -346.53       
93            93            +0            -355.713      -355.713      -355.713      
94            94            +0            -361.471      -361.471      -361.471      
95            95            +0            -344.021      -344.021      -344.021      
96            96            +0            -355.714      -355.714      -355.714      
97            97            +0            -352.663      -352.663      -352.663      
98            98            +0            -349.315      -349.315      -349.315      
99            99            +0            -355.84       -355.84       -355.84       
